Timestamp, CPU Usage (%), Memory Usage (%), Disk Usage (%)
1686300663, 32.9, 96.2, 79.0
1686300669, 25.2, 96.1, 79.4
1686300675, 23.2, 96.2, 79.4
1686300681, 24.8, 96.2, 79.4
1686300687, 78.1, 98.5, 79.4
1686300693, 34.5, 96.2, 79.4
1686300699, 26.6, 96.2, 79.4
1686300706, 18.6, 96.2, 79.4
1686300712, 36.5, 96.1, 79.4
1686300718, 21.0, 96.1, 79.4
1686300724, 18.0, 96.1, 79.4
1686300730, 31.0, 96.1, 79.4
1686300736, 18.4, 96.1, 79.4
1686300742, 23.6, 96.1, 79.4
1686300748, 33.8, 96.1, 79.4
1686300754, 43.8, 96.2, 79.4
1686300760, 24.0, 96.2, 79.4
1686300766, 31.9, 96.1, 79.4
1686300772, 31.8, 96.3, 79.4
1686300778, 19.6, 96.3, 79.4
1686300784, 19.8, 96.2, 79.4
1686300790, 30.8, 96.1, 79.4
1686300796, 34.3, 96.1, 79.4
1686300802, 25.9, 96.3, 79.4
1686300808, 17.4, 96.1, 79.4
1686300814, 18.5, 96.3, 79.4
1686300820, 23.0, 96.3, 79.4
1686300826, 22.0, 96.1, 79.4
1686300832, 18.6, 96.4, 79.4
1686300838, 22.2, 96.3, 79.4
1686300844, 27.9, 96.2, 79.4
1686300850, 15.4, 96.2, 79.4
1686300856, 16.7, 96.1, 79.4
1686300862, 27.3, 96.2, 79.4
1686300868, 36.6, 96.2, 79.4
1686300874, 26.3, 96.2, 79.4
1686300880, 42.8, 96.2, 79.4
1686300886, 27.9, 96.2, 79.4
1686300892, 39.8, 96.2, 79.4
1686300898, 41.2, 96.2, 79.4
1686300904, 21.0, 96.2, 79.4
1686300910, 36.0, 96.2, 79.5
